#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1,USA,"96,959,165",,"1,074,787 ",,"92,951,124",,"2,933,254","3,811",,,"1,108,019,371",, ,North America,,,,
2,India,"44,482,411",,"528,090 ",,"43,900,204",,"54,117",698,"31,557",375,"888,394,283","630,243","1,409,606,749 ",Asia,"322,6692",,,38
3,France,"34,663,106",,"154,437 ",,"34,165,485",,"343,184",869,"528,493","2,355","271,490,188","4,139,293","65,588,541 ",Europe,24250,,,"5,232"
4,Brazil,"34,549,915",,"684,784 ",,"33,546,726",,"318,405","8,318","160,060","3,172","63,776,166","295,457","215,855,777 ",South America,63153,,,"1,475"
5,Germany,"32,422,084",,"148,217 ",,"31,599,700",,"674,167","1,406","384,292","1,757","122,332,384","1,449,980","84,368,297 ",Europe,35691,,,"7,991"
6,S. Korea,"23,933,949","+69,389","27,381 ",+68,"22,272,064","+58,982","1,634,504",493,"465,955",533,"15,804,065","307,679","51,365,414 ",Asia,"21,8763","1,351",1,"31,821"
7,UK,"23,554,519",,"189,026 ",,"23,257,608","+5,320","107,885",146,"343,041","2,753","522,526,476","7,609,912","68,663,931 ",Europe,33630,,,"1,571"
8,Italy,"22,004,612",,"176,098 ",,"21,313,083",,"515,431",185,"365,113","2,922","243,575,875","4,041,549","60,267,957 ",Europe,33420,,,"8,552"
9,Russia,"19,908,189",,"385,069 ",,"18,926,609",,"596,511","2,300","136,291","2,636","273,400,000","1,871,693","146,070,932 ",Europe,73791,,,"4,084"
10,Japan,"19,882,393","+112,404","42,101 ",+261,"18,501,301","+200,889","1,338,991",461,"158,259",335,"73,440,403","584,566","125,632,263 ",Asia,"62,9842",895,2,"10,658"
11,Turkey,"16,797,750",,"100,840 ",,"16,657,582","+6,554","39,328",975,"194,600","1,168","162,743,369","1,885,367","86,319,200 ",Asia,58561,,,456
12,Spain,"13,358,722",,"112,923 ",,"13,153,261",,"92,538",339,"285,478","2,413","471,036,328","10,066,111","46,794,273 ",Europe,44140,,,"1,978"
13,Vietnam,"11,431,823",,"43,126 ",,"10,261,401",,"1,127,296",154,"115,183",435,"85,826,548","864,756","99,249,408 ",Asia,"92,3011",,,"11,358"
14,Australia,"10,111,190","+7,613","14,359 ",+71,"10,015,182","+9,417","81,649",60,"386,729",549,"78,590,386","3,005,892","26,145,448 ",Australia/Oceania,"31,8210",291,3,"3,123"
15,Argentina,"9,689,861",,"129,769 ",,"9,514,529","+3,522","45,563",366,"210,189","2,815","35,716,069","774,742","46,100,621 ",South America,53551,,,988
